TEXT,graphics,hockey,medical,newsgroup
"I have a few reprints left of chapters from my book "" Visions of the Future"" . These include reprints of 3 chapters probably of interest to readers of this forum, including: 1. Current Techniques and Development of Computer Art, by Franz Szabo 2. Forging a Career as a Sculptor from a Career as Computer Programmer, by Stewart Dickson 3. Fractals and Genetics in the Future by H. Joel Jeffrey I'd be happy to send out free reprints to researchers for scholarly purposes, until the reprints run out. Just send me your name and address. Thanks, Cliff cliff@watson.ibm.com",1,0,0,graphics
"gnuplot, etc. make it easy to plot real valued functions of 2 variables but I want to plot functions whose values are 2-vectors. I have been doing this by plotting arrays of arrows (complete with arrowheads) but before going further, I thought I would ask whether someone has already done the work. Any pointers?? thanx in advance Tom Weston | USENET: weston@ucssun1.sdsu.edu Department of Philosophy | (619) 594-6218 (office) San Diego State Univ. | (619) 575-7477 (home) San Diego, CA 92182-0303 |",1,0,0,graphics
"Article-I.D.: snoopy.1pqlhnINN8k1 References: < 1993Apr3.183303.6442@usl.edu> Organization: Univ. of Florida CIS Dept. Lines: 34 NNTP-Posting-Host: coconut.cis.ufl.edu In article < 1993Apr3.183303.6442@usl.edu> jna8182@ucs.usl.edu (Armstrong Jay N) writes: DMorf (Dave's Morph, I think is what it means) and DTax (Dave's TGA Assembler) are available in the MSDOS_UPLOADS directory on the wuarchive. They are arjed and bundled with their respective xmemory versions, dmorfx.exe and dtax.exe, you can also find a version of aaplay.exe there, with which you can view files you create with dta.exe or dtax.exe. I downloaded the whole bunch last week and have been morphing away the afternoons since. The programmes are all a bit buggy and definitely not-ready-to-spread-to-the-masses, but they are very well written. The interface is frustrating at first, but it gets easy once you figure out the tricks. I have noticed that dmorfx will crash horribly if you try to morph without using the splines option. Not sure why, since I don't have the source. I think it was written for TP 6.0. If anyone else comes up with any other hints on getting the thing to work right, tell me; it took me several hours the first time just to figure out that if I just used the durned splines then it would work... -Ryan rap@cis.ufl.edu",1,0,0,graphics
"Hello, I am looking to add voice input capability to a user interface I am developing on an HP730 (UNIX) workstation. I would greatly appreciate information anyone would care to offer about voice input systems that are easily accessible from the UNIX environment. The names or adresses of applicable vendors, as well as any experiences you have had with specific systems, would be very helpful. Please respond via email; I will post a summary if there is sufficient interest. Thanks, Ken P.S. I have found several impressive systems for IBM PC's, but I would like to avoid the hassle of purchasing and maintaining a separate PC if at all possible. ------------------------------------------------------------------------------- Ken Hinckley (kph2q@virginia.edu) University of Virginia Neurosurgical Visualization Laboratory -------------------------------------------------------------------------------",1,0,0,graphics
"I recently got a file describing a library of rendering routines called SIPP (SImple Polygon Processor). Could anyone tell me where I can FTP the source code and which is the newest version around? Also, I've never used Renderman so I was wondering if Renderman is like SIPP? ie. a library of rendering routines which one uses to make a program that creates the image... Thanks, Joe Tham -- Joe Tham joth@ersys.edmonton.ab.ca",1,0,0,graphics
"d9hh@dtek.chalmers.se (Henrik Harmsen) writes: While I don't mean to damn Henrik's attempt to be helpful here, he's using a common misconception that should be corrected. Mach banding will occur for any image. It is not the color quantization you see when you don't have enough bits. It is the human eye's response to transitions or edges between intensities. The result is that colors near the transistion look brighter on the brighter side and darker on the darker side. --Andre -- Andre Yew andrey@cco.caltech.edu (131.215.139.2)",1,0,0,graphics
"Article-I.D.: cs.1993Apr6.020751.13389 Sender: news@cs.wisc.edu (The News) Distribution: usa Organization: University of Wisconsin, Madison -- Computer Sciences Dept. Lines: 8 I am a Mac-user when it comes to graphics (that's what I own software and hardware for) and I've recently come across a large number of TTTDDD format modeling databases. Is there any software, mac or unix, for translating those to something I could use, like DXF? Please reply via email. Thanx. Eric Oehler oehler@picard.cs.wisc.edu",1,0,0,graphics
"I am looking for publically accessible sources of data depicting brain and neuron functions. Especially interesting would be volumetric data from brain scans, electromicographs, and so forth. Please email me and let me know if you know of such. -------------------------------------------------------- The HumBio Project is a CD-ROM-based curriculum tool for sixth-, seventh-, and eigth-graders, studying the function of the human brain and the effects of neurotransmitters, alcohol, and drugs. The will be a special focus in depicting the effects of neurotransmitters on behavior. Volotta Interactive Video is producing this project for Stanford Univers ity. We are currently in a pre-production phase and we are looking for data sets and visualizations depicting brain function on the whole brain, neuron and molecular levels. We intend to use state-of-the-art visualization tools to render instructive visualizations from two-, three-, and four-dimensional data sets as well as using already-completed visualizations to their best effect.",1,0,0,graphics
"The HumBio Project: Call for Data and Visualizations The HumBio Project is a CD-ROM-based curriculum tool for sixth-, seventh-, and eigth-graders, studying the function of the human brain and the effects of neurotransmitters, alcohol, and drugs. The will be a special focus in depicting the effects of neurotransmitters on behavior. Volotta Interactive Video is producing this project for Stanford University. We are currently in a pre-production phase and we are looking for data sets and visualizations depicting brain function on the whole brain, neuron and molecular levels. We intend to use state-of-the-art visualization tools to render instructive visualizations from two-, three-, and four-dimensional data sets as well as using already-completed visualizations to their best effect. If you're interested in sharing your data for the purpose of education and supporting the introductions of CD-ROM and scientific visualization technologies into our schools, please e-mail phughes@igc.org. Include your name, organization, and type and format of data you might be willing to provide. We are eager to begin production in the next few months and will be excited to hear from you. Sincerely, Peter Hughes The HumBio Project (The HumBio Project is not in any way affiliated with Apple Computer or IGC.)",1,0,0,graphics
"Hello everybody ! If you are using PIXAR'S RenderMan 3D scene description language for creating 3D worlds, please, help me. I'm using RenderMan library on my NeXT but there is no documentation about NeXTSTEP version of RenderMan available. I can create very complicated scenes and render them using surface shaders, but I can not bring them to life by applying shadows and reflections. As far as I understand I have to define environmental and shadows maps to produce reflections and shadows, but I do not know how to use them. Any advises or simple RIB or C examples will be appreciated. Thanks in advance... --- Alex Kolesov Moscow, Russia. Talus Imaging & Communications Corporation e-mail: < alex@talus.msk.su> (NeXT mail accepted) .",1,0,0,graphics
