date,hour,NO2,CO,O3,NO,PM2.5,PM10,Air Temp.,Air Hum.,Air Pres.
4/25/2021,0,0.039816667,0.0807,-0.000866667,0.0098,0.2,5.04,25.795,99.9,1011.98
4/25/2021,1,0.0359,0.092216667,-0.000266667,0.009833333,0.2,6.293333333,25.445,99.9,1012.131667
4/25/2021,2,0.028083333,0.06275,0.002516667,0.012883333,0.2,5.501666667,25.22333333,99.9,1012.365
4/25/2021,3,0.025633333,0.0423,0.00455,0.014233333,0.2,4.201666667,25.075,99.9,1012.276667
4/25/2021,4,0.023716667,0.036883333,0.006266667,0.015416667,0.2,5.365,24.92833333,99.9,1012.03
4/25/2021,5,0.024416667,0.037166667,0.010333333,0.015483333,0.2,4.988333333,24.89666667,99.9,1011.661667
4/25/2021,6,0.023916667,0.032633333,0.011416667,0.015583333,0.2,7.543333333,24.94,99.9,1011.303333
4/25/2021,7,0.024483333,0.0329,0.010233333,0.015916667,0.2,8.671666667,24.95833333,99.9,1011.081667
4/25/2021,8,0.024916667,0.033566667,0.012766667,0.016466667,0.2,6.991666667,24.76666667,99.9,1010.998333
4/25/2021,9,0.02305,0.038516667,0.0161,0.016133333,0.2,7.068333333,24.635,99.9,1011.115
4/25/2021,10,0.022883333,0.048016667,0.016483333,0.0162,0.2,6.59,24.595,99.9,1011.375
4/25/2021,11,0.022816667,0.068033333,0.015883333,0.0164,0.2,5.696666667,24.62833333,99.9,1011.651667
4/25/2021,12,0.016583333,0.0791,0.02035,0.01535,0.2,7.876666667,25.03166667,99.9,1012.021667
4/25/2021,13,0.015683333,0.067133333,0.013283333,0.01245,0.2,5.45,26.15,99.9,1012.288333
4/25/2021,14,0.007966667,0.0556,0.0097,0.012166667,0.2,4.795,27.54666667,99.9,1012.755
4/25/2021,15,0.006216667,0.060633333,0.013633333,0.011233333,0.2,5.545,27.54166667,99.9,1013.175
4/25/2021,16,0.004116667,0.070733333,0.015683333,0.010566667,0.2,3.99,28.025,99.9,1013.285
4/25/2021,17,0.0027,0.05715,0.0119,0.011566667,0.2,3.601666667,29.295,99.9,1013.263333
4/25/2021,18,0.00055,0.04625,0.0153,0.00985,0.2,3.171666667,29.04,99.9,1013.156667
4/25/2021,19,0.014883333,0.129016667,0.014233333,0.00745,0.2,5.336666667,28.47333333,99.9,1012.72
4/25/2021,20,0.004,0.11775,0.032283333,0.01055,1.005,7.946666667,28.58166667,79.74333333,1012.188333
4/25/2021,21,0.001983333,0.072416667,0.045316667,0.008383333,2.598333333,11.31666667,28.08166667,60.835,1011.925
4/25/2021,22,0.003916667,0.0774,0.04585,0.00735,2.385,9.49,27.62,57.37,1011.955
4/25/2021,23,0.007266667,0.092383333,0.04655,0.010266667,1.926666667,10.505,26.22,60.40166667,1012.181667
4/26/2021,0,0.018483333,0.111533333,0.0459,0.017133333,1.106666667,7.828333333,24.45666667,81.34333333,1012.731667
4/26/2021,1,0.030283333,0.109133333,0.03865,0.0132,0.14,5.205,22.845,99.9,1013.426667
4/26/2021,2,0.019883333,0.107583333,0.042966667,0.017566667,0.1,3.711666667,22.04833333,99.9,1014.165
4/26/2021,3,0.00995,0.110083333,0.04515,0.022583333,0.1,4.676666667,21.48,99.9,1014.48
4/26/2021,4,0.00145,0.101916667,0.04745,0.026366667,0.1,2.678333333,20.86666667,99.9,1014.558333
4/26/2021,5,0.001483333,0.111216667,0.04765,0.027916667,0.1,1.683333333,20.48,99.9,1014.476667
4/26/2021,6,0.003233333,0.102083333,0.04725,0.028466667,0.1,2.005,20.335,99.9,1013.986667
4/26/2021,7,0.00365,0.102083333,0.0467,0.028883333,0.1,3.025,20.2,99.9,1013.683333
4/26/2021,8,0.0036,0.103366667,0.045816667,0.029083333,0.1,1.305,20.2,99.9,1013.55
4/26/2021,9,0.001116667,0.093516667,0.045733333,0.03,0.1,2.118333333,20.14833333,99.9,1013.813333
4/26/2021,10,0.000716667,0.090266667,0.045533333,0.031666667,0.1,2.55,20.02666667,99.9,1014.183333
4/26/2021,11,0.009116667,0.11795,0.04345,0.0295,0.1,2.42,20.95666667,99.9,1015
4/26/2021,12,0.004483333,0.11415,0.044316667,0.0258,0.1,3.966666667,22.32333333,99.9,1015.628333
4/26/2021,13,0.004416667,0.111416667,0.042216667,0.022933333,0.1,6.118333333,23.17833333,99.9,1015.906667
4/26/2021,14,0.0102,0.11745,0.037816667,0.020633333,0.1,5.686666667,24.16666667,99.9,1016.485
4/26/2021,15,0.0085,0.080733333,0.044966667,0.01525,0.1,4.128333333,25.33,98.99666667,1017.04
4/26/2021,16,0.00045,0.0546,0.050183333,0.015333333,0.286666667,4.243333333,26.495,82.97666667,1016.876667
4/26/2021,17,0.01655,0.091616667,0.049666667,0.0095,0.823333333,5.043333333,27.47666667,67.66333333,1016.321667
4/26/2021,18,0.024766667,0.141116667,0.0474,0.003966667,1.223333333,7.215,28.34,59.25333333,1016.053333
4/26/2021,19,0.023966667,0.174633333,0.049616667,0.002883333,1.193333333,5.826666667,28.93333333,54.865,1015.8
4/26/2021,20,0.029666667,0.159566667,0.048516667,0.000916667,1.178333333,5.611666667,29.06833333,53.37833333,1015.313333
4/26/2021,21,0.034016667,0.110433333,0.0442,0.000583333,1.348333333,5.373333333,29.34833333,53.37666667,1015.036667
4/26/2021,22,0.036283333,0.098733333,0.036266667,0.00365,1.333333333,5.661666667,29.20833333,58.285,1015.283333
4/26/2021,23,0.044333333,0.097666667,0.032783333,0.00785,1.17,7.401666667,28.07166667,72.42833333,1015.351667
4/27/2021,0,0.042383333,0.096516667,0.035883333,0.0116,0.761666667,5.8,27.135,76.82666667,1015.771667
4/27/2021,1,0.034983333,0.0753,0.038966667,0.015483333,0.635,5.716666667,26.04166667,83.84666667,1016.68
4/27/2021,2,0.024366667,0.062866667,0.044133333,0.020216667,0.605,4.566666667,25.02833333,84.175,1017.59
4/27/2021,3,0.027416667,0.048233333,0.04185,0.020416667,0.208333333,4.933333333,23.70833333,97.92833333,1017.823333
4/27/2021,4,0.029816667,0.053983333,0.037733333,0.0224,0.1,5.116666667,23.055,99.9,1017.826667
4/27/2021,5,0.031933333,0.062316667,0.03635,0.023016667,0.1,3.373333333,22.75,99.9,1017.613333
4/27/2021,6,0.027333333,0.060566667,0.039133333,0.025166667,0.1,2.74,22.345,99.9,1017.365
4/27/2021,7,0.023133333,0.050633333,0.040733333,0.02755,0.1,4.483333333,21.85,99.9,1017.425
4/27/2021,8,0.019483333,0.049733333,0.0435,0.0295,0.1,2.581666667,21.69333333,99.9,1017.301667
4/27/2021,9,0.01735,0.052333333,0.0441,0.03065,0.1,3.333333333,21.53666667,99.9,1017.363333
4/27/2021,10,0.01355,0.075533333,0.044883333,0.031816667,0.1,3.008333333,21.60166667,99.9,1017.926667
4/27/2021,11,0.013516667,0.060016667,0.0441,0.0325,0.1,3.915,22.135,99.9,1018.788333
4/27/2021,12,0.0132,0.065483333,0.0378,0.028633333,0.1,5.236666667,23.20666667,99.9,1019.625
4/27/2021,13,0.012131148,0.062032787,0.037327869,0.025327869,0.1,5.191803279,23.92622951,99.9,1020.036066
4/27/2021,14,0.01355,0.045583333,0.03765,0.02145,0.1,5.47,25.12333333,99.9,1020.241667
4/27/2021,15,0.0163,0.032166667,0.038533333,0.0155,0.121666667,5.206666667,26.245,95.23166667,1020.046667
4/27/2021,16,0.007533333,0.038966667,0.046616667,0.0203,0.766666667,4.84,27.185,75.76666667,1019.278333
4/27/2021,17,0.016266667,0.052933333,0.045183333,0.014166667,1.325,4.831666667,27.55666667,63.98,1018.778333
4/27/2021,18,0.018833333,0.0584,0.044983333,0.010166667,1.618333333,6.216666667,28.04333333,57.36833333,1018.283333
4/27/2021,19,0.0223,0.0696,0.04285,0.006416667,1.663333333,6.22,28.775,52.025,1017.808333
4/27/2021,20,0.025816667,0.06305,0.043133333,0.004316667,2.038333333,6.73,28.97,51.68166667,1017.116667
4/27/2021,21,0.03095,0.092633333,0.030166667,0.001616667,1.968333333,5.94,29.18166667,51.77333333,1016.946667
